CN209780913U,中国铁道科学研究院集团有限公司铁道建筑研究所,中国铁道科学研究院集团有限公司,中国铁路经济规划研究院有限公司,中铁第一勘察设计院集团有限公司,中国中铁二院工程集团有限责任公司
CN111561332A,中山大学,中交第一公路勘察设计研究院有限公司
CN113220009A,中国铁路设计集团有限公司,铁三院(天津)检测科技有限公司
CN113220009B,中国铁路设计集团有限公司,铁三院(天津)检测科技有限公司
CN113569389A,西南交通大学,叙镇铁路有限责任公司
CN111305353A,中交第一公路勘察设计研究院有限公司,中交二公局第四工程有限公司
CN112252161A,中铁桥研科技有限公司,中铁大桥局集团有限公司,中铁大桥科学研究院有限公司
CN112620898A,中铁九桥工程有限公司,中铁高新工业股份有限公司
CN113063814A,华东交通大学,西南交通大学
CN213934315U,通号工程局集团有限公司,通号工程局集团有限公司天津分公司
CN214033332U,中铁桥研科技有限公司,中铁大桥局集团有限公司,中铁大桥科学研究院有限公司
CN208525683U,鲁飞,张国强,郑超,陈海峰,朱纯,章和高
CN111119986A,中铁十六局集团有限公司,中铁十六局集团北京建功机械有限公司
CN111828062A,高速铁路建造技术国家工程实验室,中南大学
CN213088013U,浙江华东工程咨询有限公司,中国电建集团华东勘测设计研究院有限公司
CN111690417A,中国铁道科学研究院集团有限公司铁道建筑研究所,中国铁道科学研究院集团有限公司
CN111798065A,西南交通大学,中铁二局集团有限公司
CN111690417B,中国铁道科学研究院集团有限公司铁道建筑研究所,中国铁道科学研究院集团有限公司
CN214616608U,中铁二院工程集团有限责任公司,成都现代万通锚固技术有限公司
CN113860787A,中国铁道科学研究院集团有限公司铁道建筑研究所,中国铁道科学研究院集团有限公司,中国铁路总公司,北京铁锋建筑工程技术有限公司
CN114148063A,金发科技股份有限公司,成都金发科技新材料有限公司
CN111305258A,中交第一公路勘察设计研究院有限公司,中铁十一局集团第二工程有限公司,中交二公局第四工程有限公司
CN212129216U,中交第一公路勘察设计研究院有限公司,中铁十一局集团第二工程有限公司,中交二公局第四工程有限公司
CN113807724A,上海交通大学,中央财经大学
CN110645445A,铁科创恒新材料科技有限公司,江西运腾工程材料有限公司
CN111322090A,中铁五局集团第一工程有限责任公司,中南大学,中铁二院工程集团有限责任公司
CN111335338A,中交第一公路勘察设计研究院有限公司,中铁十一局集团第二工程有限公司
CN111322090B,中铁五局集团第一工程有限责任公司,中南大学,中铁二院工程集团有限责任公司
CN212177175U,中山大学,中交第一公路勘察设计研究院有限公司
CN215292549U,中铁二十五局集团第四工程有限公司,中铁二十五局集团第六工程有限公司
CN113859379A,广西岩土钻凿工程科技有限公司,桂林航天工业学院
CN113979710A,黑龙江省公路建设中心,交通运输部公路科学研究所
CN216102473U,广西岩土钻凿工程科技有限公司,桂林航天工业学院
CN209163826U,中交隧道局第四工程有限公司,成都交竢工程科技有限公司
CN111485938A,中铁十六局集团有限公司,中铁十六局集团北京建功机械有限公司
CN112065432A,浙江华东工程咨询有限公司,中国电建集团华东勘测设计研究院有限公司
CN212406764U,高速铁路建造技术国家工程实验室,中南大学
CN112780335A,中铁十六局集团有限公司,中铁十六局集团北京建功机械有限公司
CN214196390U,中铁十六局集团有限公司,中铁十六局集团北京建功机械有限公司
CN113947014A,江苏中云筑智慧运维研究院有限公司,东南大学
CN109900548A,崔凯,西南交通大学
CN110865020A,中南大学,中铁二院工程集团有限责任公司,中国铁道科学研究院集团有限公司
CN211785020U,中南大学,中铁二院工程集团有限责任公司,中国铁道科学研究院集团有限公司
CN109900548B,崔凯,西南交通大学
CN111795739A,中国科学院武汉岩土力学研究所,川藏铁路有限公司
CN111880220A,中国科学院武汉岩土力学研究所,川藏铁路有限公司
CN112627873A,西南交通大学,中国科学院武汉岩土力学研究所,川藏铁路有限公司
CN111795739B,中国科学院武汉岩土力学研究所,川藏铁路有限公司
CN112627873B,西南交通大学,中国科学院武汉岩土力学研究所,川藏铁路有限公司
CN215369943U,北京科技大学,川藏铁路有限公司
CN114004104A,中铁第一勘察设计院集团有限公司,川藏铁路技术创新中心有限公司
CN111880220B,中国科学院武汉岩土力学研究所,川藏铁路有限公司
CN114359876A,成都奥伦达科技有限公司,川藏铁路技术创新中心有限公司
CN114399762A,成都奥伦达科技有限公司,川藏铁路技术创新中心有限公司
