CN114085055A,一种适用于高地温隧道高温低湿环境下二次衬砌混凝土及其制备方法,2021-10-25,2022-02-25,中南大学 | 长沙市建筑节能与绿色建筑产业技术创新战略联盟,申景涛 | 马昆林 | 韩晓昆 | 徐占军 | 张威振 | 龙广成 | 曾晓辉 | 胡明文,实质审查
CN109441481A,一种高海拔寒冷地区抗冻融灾害的隧道衬砌结构,2018-11-21,2019-03-08,中铁十一局集团第五工程有限公司 | 中铁十一局集团有限公司,郑典明 | 陈光 | 牙韩东 | 邓荣贵 | 杨敬 | 贺培霖 | 王杨波,授权
CN109441481B,一种高海拔寒冷地区抗冻融灾害的隧道衬砌结构,2018-11-21,2020-02-11,中铁十一局集团第五工程有限公司 | 中铁十一局集团有限公司,郑典明 | 陈光 | 牙韩东 | 邓荣贵 | 杨敬 | 贺培霖 | 王杨波,授权
CN109209444A,高寒地区隧道抗冻融灾害的处理方法,2018-11-21,2019-01-15,中铁十一局集团第五工程有限公司 | 中铁十一局集团有限公司,郑典明 | 陈光 | 牙韩东 | 邓荣贵 | 杨敬 | 贺培霖 | 王杨波,授权
CN109209444B,高寒地区隧道抗冻融灾害的处理方法,2018-11-21,2020-01-07,中铁十一局集团第五工程有限公司 | 中铁十一局集团有限公司,郑典明 | 陈光 | 牙韩东 | 邓荣贵 | 杨敬 | 贺培霖 | 王杨波,授权
CN211506935U,基于地质雷达法的隧道衬砌缺陷快速识别模型,2020-01-17,2020-09-15,中铁二十五局集团第四工程有限公司 | 中铁二十五局集团第六工程有限公司 | 柳州铁路工程质量检测中心有限公司,许可盛 | 李骞 | 闫德运 | 陈慧 | 王翠姣 | 方全 | 李海波 | 苏小敏 | 刘飞 | 韦刚壮 | 叶小茂 | 陆冠陶,授权
CN209212248U,适用于隧道衬砌的可拉伸和压缩的弹簧组构件,2018-11-21,2019-08-06,中铁十一局集团第五工程有限公司 | 中铁十一局集团有限公司,郑典明 | 陈光 | 牙韩东 | 邓荣贵 | 杨敬 | 贺培霖 | 王杨波,授权
CN109736185A,一种新型防落梁阻尼器及含有它的阻尼系统,2019-03-12,2019-05-10,防灾科技学院 | 北京赛福思创减震科技股份公司,郭迅,实质审查 | 一案双申
CN209722700U,一种新型防落梁阻尼器及含有它的阻尼系统,2019-03-12,2019-12-03,防灾科技学院 | 北京赛福思创减震科技股份公司,郭迅 | 何雄科,授权 | 一案双申
CN109407720A,季节性冻土区铁路隧道冻融圈控制系统与方法,2018-12-12,2019-03-01,山东大学 | 中铁十八局集团有限公司,薛翊国 | 陈清 | 候守江 | 张学亮 | 潘建平 | 李广坤 | 柏成浩 | 宁泽旭,授权
CN109407720B,季节性冻土区铁路隧道冻融圈控制系统与方法,2018-12-12,2021-06-01,山东大学 | 中铁十八局集团有限公司,薛翊国 | 陈清 | 侯守江 | 张学亮 | 潘建平 | 李广坤 | 柏成浩 | 宁泽旭,授权
CN114436603A,一种新型隔热材料及其在高地热隧道中的应用,2020-10-30,2022-05-06,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司 | 北京铁锋建筑工程技术有限公司,李享涛 | 谢永江 | 程冠之 | 董全霄 | 仲新华 | 王家赫 | 渠亚男 | 谭盐宾 | 朱长华 | 冯仲伟 | 苏婉玉 | 裘智辉 | 孔庆欣 | 李连吉 | 袁政成 | 王伟唯,公开
CN111550267A,隧道初期支护结构及施工方法,2020-05-26,2020-08-18,中山大学 | 浩吉铁路股份有限公司,皮圣 | 梁禹 | 黄林冲,授权
CN111550267B,隧道初期支护结构及施工方法,2020-05-26,2021-04-30,中山大学 | 浩吉铁路股份有限公司,皮圣 | 梁禹 | 黄林冲,授权
CN113933481A,一种冻融条件下岩石裂隙实时监测系统及方法,2021-10-14,2022-01-14,重庆大学 | 中国科学院武汉岩土力学研究所,张君岳 | 刘桓兑 | 李银平 | 王贵宾 | 马洪岭,实质审查
CN212129174U,一种适应冻胀融沉的边坡防护预制齿合锁扣块组件,2020-03-25,2020-12-11,中交第一公路勘察设计研究院有限公司 | 中铁十一局集团第二工程有限公司,王佐 | 苏卫卫 | 田敏哲 | 邹伟 | 盖卫鹏 | 刘军勇 | 尹利华,授权
CN114033433A,一种高原高地应力隧道二衬裂缝监控施工方法,2021-11-16,2022-02-11,中铁十二局集团有限公司 | 中铁十二局集团第二工程有限公司,杨文斌 | 乔志斌 | 白国峰 | 王涛 | 李明 | 曾根龙 | 杨玉彬 | 李建军 | 刘渺 | 党绪平 | 张志民 | 张晓亮,实质审查
CN111187023A,一种火成岩石粉用矿物改性剂,2020-01-14,2020-05-22,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司 | 北京铁锋建筑工程技术有限公司,谢永江 | 谭盐宾 | 李康 | 冯仲伟 | 李林香 | 杨鲁 | 葛昕 | 王浩 | 王琳 | 谢亮 | 胡凡 | 齐婧 | 饶云兵,公开
CN111980711A,一种新型结构竖井钻机,2020-09-07,2020-11-24,中煤特殊凿井有限责任公司 | 中煤第三建设(集团)有限责任公司,亓燕秋 | 刘伟军 | 王宗金 | 杨光 | 赵伟峰 | 付新鹏 | 晏中俊 | 李新利,实质审查 | 一案双申
CN212296364U,一种新型结构竖井钻机,2020-09-07,2021-01-05,中煤特殊凿井有限责任公司 | 中煤第三建设(集团)有限责任公司,亓燕秋 | 刘伟军 | 王宗金 | 杨光 | 赵伟峰 | 付新鹏 | 晏中俊 | 李新利,授权 | 一案双申
CN212358520U,一种适应冻融变形的边坡排水预制仿生构件,2020-03-25,2021-01-15,中交第一公路勘察设计研究院有限公司 | 中交二公局第四工程有限公司,王佐 | 苏卫卫 | 黄建忠 | 刘军勇 | 尹利华 | 盖卫鹏 | 沈鹏,授权
CN112756746A,一种高寒地区Q500qENH耐候钢复合对接焊的工艺方法,2020-12-28,2021-05-07,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,陈潜 | 郭红艳 | 潘云龙 | 付建辉 | 王磊 | 王中美 | 王员根 | 李方敏 | 朱东明 | 向华 | 徐慰玉 | 高波 | 黄勇 | 黄旭光 | 王明 | 刘翔 | 肖辉东,授权
CN112959513A,混凝土隧洞内智能化自适应拌合系统及方法,2021-01-29,2021-06-15,清华大学 | 重庆交通大学 | 华能西藏雅鲁藏布江水电开发投资有限公司 | 华能集团技术创新中心有限公司,安雪晖 | 周力 | 李鹏飞 | 刘微 | 杜三林 | 杨传根,实质审查
CN214035718U,一种自钻式让压中空锚杆,2020-12-24,2021-08-24,中铁二院工程集团有限责任公司 | 成都现代万通锚固技术有限公司,李奎 | 陶伟明 | 喻渝 | 胡炜 | 谭信荣 | 龙旭 | 高泊松 | 赵万强 | 郑长青 | 王志强 | 吴航 | 徐骏 | 谭永杰 | 黎旭 | 唐思聪,授权
CN113323672A,硬岩大跨度隧道大型机械化钻爆开挖快速施工方法,2021-06-30,2021-08-31,中铁十局集团有限公司 | 中铁十局集团城市轨道交通工程有限公司,白建军 | 刘顿 | 刘祎 | 刘伟 | 张奇 | 唐伟伟 | 郭新平 | 陈雷 | 贾兴文,实质审查
CN114112466A,一种用于模拟隧道掘进机掘进状态的实验平台,2021-11-24,2022-03-01,盾构及掘进技术国家重点实验室 | 中铁隧道局集团有限公司,韩伟锋 | 李凤远 | 曾垂刚 | 周建军 | 任颖莹 | 郭璐 | 王雅文 | 陈瑞祥 | 高会中 | 王凯,实质审查
CN112756746B,一种高寒地区Q500qENH耐候钢复合对接焊的工艺方法,2020-12-28,2022-04-19,中铁九桥工程有限公司 | 中铁高新工业股份有限公司,陈潜 | 郭红艳 | 潘云龙 | 付建辉 | 王磊 | 王中美 | 王员根 | 李方敏 | 朱东明 | 向华 | 徐慰玉 | 高波 | 黄勇 | 黄旭光 | 王明 | 刘翔 | 肖辉东,授权
CN111138106A,一种铁路高性能混凝土用火成岩质矿物掺和料,2020-01-15,2020-05-12,中国铁道科学研究院集团有限公司铁道建筑研究所 | 中国铁道科学研究院集团有限公司 | 中国国家铁路集团有限公司 | 北京铁锋建筑工程技术有限公司,谢永江 | 谭盐宾 | 李康 | 冯仲伟 | 李林香 | 杨鲁 | 葛昕 | 王浩 | 王琳 | 谢亮 | 胡凡 | 齐婧 | 饶云兵,公开
CN111156050A,一种隧道防护台车,2020-01-16,2020-05-15,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 向大强 | 马利 | 闫肃 | 武彬华 | 冯义涛 | 李永刚,实质审查 | 一案双申
CN111188630A,一种取热吸能让压隧道结构,2020-01-14,2020-05-22,西南交通大学 | 陕西祐通材料有限公司,严健 | 何川 | 董唯杰 | 汪波 | 徐国文,授权 | 权利转移
CN211623487U,一种隧道防护台车,2020-01-16,2020-10-02,中铁十六局集团有限公司 | 中铁十六局集团北京建功机械有限公司,马栋 | 吴庆红 | 王武现 | 孙毅 | 李燕松 | 向大强 | 马利 | 闫肃 | 武彬华 | 冯义涛 | 李永刚,授权 | 一案双申
CN111806235A,一种车地一体多功能应急储能供电系统及其控制方法,2020-07-22,2020-10-23,西南交通大学 | 中车株洲电力机车有限公司,戴朝华 | 李密 | 柳晓峰 | 李涛,实质审查
CN112142359A,一种干、湿喷混凝土两用型粉状无碱速凝剂及其制备和使用方法,2020-09-25,2020-12-29,福泉凯威特新材料有限公司 | 云南凯威特新材料股份有限公司,刘玮 | 陈家荣 | 王庄 | 陈星蓉 | 白进利 | 吴现叶,实质审查
CN111188630B,一种取热吸能让压隧道结构,2020-01-14,2021-01-29,西南交通大学 | 陕西祐通材料有限公司,严健 | 何川 | 董唯杰 | 汪波 | 徐国文,授权 | 权利转移
