公开(公告)号,标题,申请日,公开(公告)日,当前申请(专利权)人,发明人,法律状态/事件
CN212358026U,一种装配式盖梁施工安全防护一体化平台,2020-06-04,2021-01-15,安徽省公路桥梁工程有限公司,蒋小敏 | 王生涛 | 何涛 | 杨庆 | 张银 | 叶舟 | 王鑫 | 陈忠义,授权 | 一案双申
CN112363230A,一种铁路隧道无人机电磁探测方法,2020-09-01,2021-02-12,深圳市广域鹏翔研究开发有限公司,何继善 | 蒋奇云 | 黄敏 | 凌帆 | 王泽深,实质审查
CN112665947A,一种冻融-干湿环境下岩石损伤声学监测装置及方法,2021-01-13,2021-04-16,中国科学院西北生态环境资源研究院,李双洋 | 杨佳乐 | 赵永春 | 赵建沅 | 姜琪,实质审查
CN111809556B,冰湖溃决型洪水泥石流防治方法,2020-07-22,2021-07-13,中国科学院、水利部成都山地灾害与环境研究所,陈剑刚 | 陈晓清 | 崔鹏 | 游勇 | 陈华勇 | 栗帅 | 唐金波 | 赵万玉 | 曾璐 | 王喜安,授权
CN214273649U,一种管棚作业室施工开挖设备及敞开式TBM,2021-01-29,2021-09-24,中铁工程装备集团有限公司,潘守辰 | 王志强 | 张玉香 | 任梓恒 | 宁向可,授权
CN113638759A,一种中空注浆智能锚杆及其安装布设方法,2021-08-23,2021-11-12,固远晨通科技发展有限公司,苏谦 | 董敏琪,实质审查
WO2021128575A1,一种滑坡 - 堰塞坝 - 溃坝洪水灾害链演进过程模拟的试验装置及方法,2020-02-28,2021-07-01,大连理工大学,"""NIAN, TINGKAI | WU, HAO | ZHAO, WEI | LI, DONGYANG | ZHENG, DEFENG""",PCT进入指定国(指定期内)
WO2022095548A1,一种旋挖钻机方桩工法及设备,2021-08-20,2022-05-12,成都欣皓地基基础工程有限责任公司,郑彪 | 郑杰 | 李常伟,-
WO2022016661A1,冰湖溃决型洪水泥石流防治方法,2020-08-28,2022-01-27,中国科学院、水利部成都山地灾害与环境研究所,陈剑刚 | 陈晓清 | 崔鹏 | 游勇 | 陈华勇 | 栗帅 | 唐金波 | 赵万玉 | 曾璐 | 王喜安,PCT国际公布
CN111795739A,微震传感器,2020-07-16,2020-10-20,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,陈炳瑞 | 王旭 | 王睿 | 朱新豪 | 李涛 | 魏凡博 | 王庆,授权
CN111880220A,震源定位方法、装置、设备和存储介质,2020-09-07,2020-11-03,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,李涛 | 陈炳瑞 | 王睿 | 朱新豪 | 王旭 | 王庆,授权
CN112627873A,一种岩爆防治装置以及防治方法,2020-12-15,2021-04-09,西南交通大学 | 中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,罗勋 | 王庆 | 王睿 | 陈炳瑞,授权
CN111795739B,微震传感器,2020-07-16,2021-07-20,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,陈炳瑞 | 王旭 | 王睿 | 朱新豪 | 李涛 | 魏凡博 | 王庆,授权
CN112627873B,一种岩爆防治装置以及防治方法,2020-12-15,2021-11-30,西南交通大学 | 中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,罗勋 | 王庆 | 王睿 | 陈炳瑞,授权
CN215369943U,一种可移动的便携式高海拔隧道供氧装置,2021-06-24,2021-12-31,北京科技大学 | 川藏铁路有限公司,莫晓雨 | 蒋仲安 | 史代宣 | 王祥 | 许强 | 罗勋,授权
CN114004104A,基于棋盘格测试的CORS站点选取方法,2021-11-09,2022-02-01,中铁第一勘察设计院集团有限公司 | 川藏铁路技术创新中心有限公司,周东卫 | 武瑞宏 | 汤伟尧 | 张波 | 张良会 | 张永刚 | 吕菲,实质审查
CN111880220B,震源定位方法、装置、设备和存储介质,2020-09-07,2022-02-22,中国科学院武汉岩土力学研究所 | 川藏铁路有限公司,李涛 | 陈炳瑞 | 王睿 | 朱新豪 | 王旭 | 王庆,授权
CN114359876A,一种车辆目标识别方法及存储介质,2022-03-21,2022-04-15,成都奥伦达科技有限公司 | 川藏铁路技术创新中心有限公司,刘健飞 | 束子贤 | 江亮亮 | 余建乐 | 魏新元,公开
CN114399762A,一种道路场景点云分类方法及存储介质,2022-03-23,2022-04-26,成都奥伦达科技有限公司 | 川藏铁路技术创新中心有限公司,刘健飞 | 陈薪宇 | 江亮亮 | 张波 | 魏新元,公开
